PowerSpy - ALCIOM - Exported raw data file

Current : 10/01/24 15:34:34,855

Sample #,Voltage (V),Current(A)
  768, 7.323, 0.04061
  769, 16.528, 0.03816
  770, 25.554, 0.03685
  771, 34.360, 0.03709
  772, 42.871, 0.03773
  773, 51.036, 0.03711
  774, 58.846, 0.03455
  775, 66.307, 0.03103
  776, 73.407, 0.02834
  777, 80.149, 0.02755
  778, 86.621, 0.02808
  779, 92.997, 0.02868
  780, 99.438, 0.02866
  781, 105.997, 0.02850
  782, 112.615, 0.02885
  783, 119.197, 0.02931
  784, 125.695, 0.02891
  785, 132.112, 0.02744
  786, 138.476, 0.02607
  787, 144.807, 0.02621
  788, 151.121, 0.02784
  789, 157.430, 0.02929
  790, 163.725, 0.02912
  791, 169.986, 0.02769
  792, 176.202, 0.02677
  793, 182.393, 0.02746
  794, 188.606, 0.02886
  795, 194.887, 0.02924
  796, 201.243, 0.02800
  797, 207.637, 0.02646
  798, 214.009, 0.02626
  799, 220.323, 0.02741
  800, 226.589, 0.02843
  801, 232.862, 0.02812
  802, 239.201, 0.02709
  803, 245.605, 0.02671
  804, 251.986, 0.02731
  805, 258.211, 0.02770
  806, 264.194, 0.02683
  807, 269.976, 0.02520
  808, 275.680, 0.02437
  809, 281.381, 0.02478
  810, 286.977, 0.02521
  811, 292.195, 0.02385
  812, 296.735, 0.02038
  813, 300.429, 0.01620
  814, 303.305, 0.01290
  815, 305.531, 0.01093
  816, 307.309, 0.00963
  817, 308.818, 0.00837
  818, 310.196, 0.00716
  819, 311.532, 0.00643
  820, 312.854, 0.00633
  821, 314.131, 0.00660
  822, 315.310, 0.00666
  823, 316.353, 0.00609
  824, 317.247, 0.00493
  825, 317.994, 0.00361
  826, 318.595, 0.00272
  827, 319.055, 0.00238
  828, 319.381, 0.00185
  829, 319.567, 0.00061
  830, 319.597, -0.00088
  831, 319.455, -0.00134
  832, 319.160, -0.00024
  833, 318.754, 0.00118
  834, 318.289, 0.00133
  835, 317.803, 0.00137
  836, 317.322, 0.00603
  837, 316.855, 0.02030
  838, 316.396, 0.04429
  839, 315.928, 0.07192
  840, 315.436, 0.09540
  841, 314.910, 0.11157
  842, 314.364, 0.12264
  843, 313.820, 0.13116
  844, 313.299, 0.13431
  845, 312.799, 0.12501
  846, 312.262, 0.09938
  847, 311.578, 0.06248
  848, 310.608, 0.02643
  849, 309.232, 0.00178
  850, 307.376, -0.00920
  851, 304.981, -0.01183
  852, 301.964, -0.01299
  853, 298.227, -0.01605
  854, 293.697, -0.02024
  855, 288.378, -0.02377
  856, 282.360, -0.02603
  857, 275.794, -0.02754
  858, 268.849, -0.02875
  859, 261.697, -0.02958
  860, 254.480, -0.02983
  861, 247.308, -0.02963
  862, 240.249, -0.02933
  863, 233.333, -0.02907
  864, 226.555, -0.02867
  865, 219.888, -0.02800
  866, 213.304, -0.02733
  867, 206.800, -0.02696
  868, 200.393, -0.02704
  869, 194.093, -0.02725
  870, 187.862, -0.02724
  871, 181.628, -0.02697
  872, 175.324, -0.02664
  873, 168.914, -0.02677
  874, 162.387, -0.02744
  875, 155.741, -0.02830
  876, 148.973, -0.02902
  877, 142.080, -0.02937
  878, 135.057, -0.02966
  879, 127.896, -0.03011
  880, 120.603, -0.03060
  881, 113.244, -0.03083
  882, 105.949, -0.03036
  883, 98.841, -0.02942
  884, 91.939, -0.02863
  885, 85.111, -0.02860
  886, 78.142, -0.02964
  887, 70.861, -0.03131
  888, 63.216, -0.03297
  889, 55.256, -0.03420
  890, 47.039, -0.03506
  891, 38.566, -0.03594
  892, 29.800, -0.03698
  893, 20.724, -0.03794
  894, 11.401, -0.03843
  895, 1.973, -0.03832
  896, -7.407, -0.03791
  897, -16.633, -0.03753
  898, -25.660, -0.03723
  899, -34.475, -0.03681
  900, -43.050, -0.03603
  901, -51.330, -0.03488
  902, -59.253, -0.03347
  903, -66.772, -0.03188
  904, -73.880, -0.03023
  905, -80.615, -0.02867
  906, -87.070, -0.02747
  907, -93.381, -0.02677
  908, -99.694, -0.02648
  909, -106.096, -0.02647
  910, -112.588, -0.02660
  911, -119.112, -0.02685
  912, -125.603, -0.02705
  913, -132.034, -0.02687
  914, -138.415, -0.02634
  915, -144.763, -0.02555
  916, -151.089, -0.02506
  917, -157.405, -0.02520
  918, -163.713, -0.02584
  919, -169.996, -0.02662
  920, -176.219, -0.02697
  921, -182.379, -0.02691
  922, -188.537, -0.02683
  923, -194.793, -0.02700
  924, -201.189, -0.02737
  925, -207.655, -0.02736
  926, -214.054, -0.02666
  927, -220.303, -0.02577
  928, -226.452, -0.02538
  929, -232.634, -0.02595
  930, -238.954, -0.02696
  931, -245.388, -0.02742
  932, -251.796, -0.02689
  933, -258.012, -0.02575
  934, -263.961, -0.02487
  935, -269.702, -0.02469
  936, -275.366, -0.02479
  937, -281.023, -0.02441
  938, -286.561, -0.02294
  939, -291.714, -0.02054
  940, -296.194, -0.01779
  941, -299.857, -0.01505
  942, -302.743, -0.01246
  943, -305.010, -0.00996
  944, -306.833, -0.00768
  945, -308.367, -0.00609
  946, -309.744, -0.00549
  947, -311.079, -0.00578
  948, -312.434, -0.00634
  949, -313.797, -0.00655
  950, -315.099, -0.00615
  951, -316.268, -0.00523
  952, -317.256, -0.00424
  953, -318.057, -0.00367
  954, -318.693, -0.00347
  955, -319.187, -0.00336
  956, -319.537, -0.00299
  957, -319.718, -0.00229
  958, -319.698, -0.00152
  959, -319.485, -0.00065
  960, -319.132, 0.00032
  961, -318.714, 0.00084
  962, -318.279, -0.00082
  963, -317.834, -0.00751
  964, -317.365, -0.02192
  965, -316.868, -0.04480
  966, -316.365, -0.07367
  967, -315.880, -0.10339
  968, -315.417, -0.12796
  969, -314.954, -0.14348
  970, -314.467, -0.14952
  971, -313.944, -0.14785
  972, -313.403, -0.13940
  973, -312.859, -0.12286
  974, -312.296, -0.09673
  975, -311.638, -0.06314
  976, -310.761, -0.02925
  977, -309.521, -0.00359
  978, -307.779, 0.00987
